,batsman,playing_team,total_runs,total_balls_faced,strike_rate,dismissals
309,DJ Bravo,Chennai Super Kings,1004,758,1.0,39
310,DJ Bravo,Gujarat Lions,99,88,1.0,8
311,DJ Bravo,Mumbai Indians,457,401,1.0,21
312,DJ Harris,Deccan Chargers,111,103,1.0,3
313,DJ Hooda,Chennai Super Kings,29,41,0.0,4
314,DJ Hooda,Kings XI Punjab,102,74,1.0,1
315,DJ Hooda,Lucknow Super Giants,680,540,1.0,31
316,DJ Hooda,Punjab Kings,160,125,1.0,9
317,DJ Hooda,Rajasthan Royals,151,99,1.0,9
318,DJ Hooda,Sunrisers Hyderabad,373,332,1.0,24
319,DJ Hussey,Chennai Super Kings,116,96,1.0,2
320,DJ Hussey,Kings XI Punjab,695,588,1.0,26
321,DJ Hussey,Kolkata Knight Riders,511,417,1.0,18
322,DJ Jacobs,Mumbai Indians,92,101,0.0,7
323,DJ Malan,Punjab Kings,26,26,1.0,1
324,DJ Mitchell,Chennai Super Kings,318,228,1.0,11
325,DJ Mitchell,Rajasthan Royals,33,46,0.0,2
326,DJ Muthuswami,Delhi Daredevils,1,3,0.0,1
327,DJ Thornely,Mumbai Indians,39,54,0.0,3
328,DJ Willey,Royal Challengers Bangalore,53,64,0.0,2
329,DJG Sammy,Royal Challengers Bangalore,13,18,0.0,2
330,DJG Sammy,Sunrisers Hyderabad,282,233,1.0,13
331,DJM Short,Rajasthan Royals,115,102,1.0,7
332,DL Chahar,Chennai Super Kings,66,55,1.0,6
333,DL Chahar,Mumbai Indians,28,16,1.0,1
334,DL Chahar,Rising Pune Supergiant,14,6,2.0,1
335,DL Vettori,Delhi Daredevils,67,60,1.0,3
336,DL Vettori,Royal Challengers Bangalore,54,58,0.0,4
337,DM Bravo,Kolkata Knight Riders,6,5,1.0,0
338,DNT Zoysa,Deccan Chargers,11,9,1.0,1
339,DP Conway,Chennai Super Kings,1018,747,1.0,21
340,DP Nannes,Delhi Daredevils,4,13,0.0,1
341,DP Vijaykumar,Deccan Chargers,1,1,1.0,0
342,DPMD Jayawardene,Delhi Daredevils,666,628,1.0,24
343,DPMD Jayawardene,Kings XI Punjab,843,622,1.0,24
344,DPMD Jayawardene,Kochi Tuskers Kerala,299,272,1.0,11
345,DR Martyn,Rajasthan Royals,19,26,0.0,1
346,DR Sams,Delhi Capitals,0,2,0.0,1
347,DR Sams,Mumbai Indians,38,40,0.0,7
348,DR Sams,Royal Challengers Bangalore,6,6,1.0,1
349,DR Shorey,Chennai Super Kings,13,20,0.0,2
350,DR Smith,Chennai Super Kings,965,766,1.0,30
351,DR Smith,Deccan Chargers,237,159,1.0,10
352,DR Smith,Gujarat Lions,563,384,1.0,21
353,DR Smith,Mumbai Indians,620,494,1.0,19
354,DS Kulkarni,Gujarat Lions,28,18,1.0,3
355,DS Kulkarni,Mumbai Indians,26,46,0.0,3
356,DS Kulkarni,Rajasthan Royals,50,49,1.0,2
357,DS Lehmann,Rajasthan Royals,18,19,0.0,2
358,DT Christian,Deccan Chargers,335,283,1.0,15
359,DT Christian,Delhi Daredevils,26,33,0.0,1
360,DT Christian,Rising Pune Supergiant,79,52,1.0,5
361,DT Christian,Royal Challengers Bangalore,20,40,0.0,6
362,DT Patil,Royal Challengers Bangalore,13,13,1.0,1
363,DW Steyn,Deccan Chargers,55,58,0.0,8
364,DW Steyn,Gujarat Lions,1,2,0.0,1
365,DW Steyn,Royal Challengers Bangalore,16,27,0.0,6
366,DW Steyn,Sunrisers Hyderabad,95,76,1.0,5
367,E Lewis,Lucknow Super Giants,73,60,1.0,3
368,E Lewis,Mumbai Indians,430,343,1.0,16
369,E Lewis,Rajasthan Royals,151,96,1.0,5
370,EJG Morgan,Kings XI Punjab,65,62,1.0,4
371,EJG Morgan,Kolkata Knight Riders,996,829,1.0,39
372,EJG Morgan,Royal Challengers Bangalore,35,31,1.0,3
373,EJG Morgan,Sunrisers Hyderabad,310,259,1.0,13
374,ER Dwivedi,Gujarat Lions,24,15,1.0,2
375,F Behardien,Kings XI Punjab,14,13,1.0,2
376,F du Plessis,Chennai Super Kings,2721,2123,1.0,70
377,F du Plessis,Delhi Capitals,81,55,1.0,3
378,F du Plessis,Rising Pune Supergiant,8,7,1.0,1
379,F du Plessis,Rising Pune Supergiants,206,169,1.0,6
380,F du Plessis,Royal Challengers Bangalore,1198,860,1.0,28
381,F du Plessis,Royal Challengers Bengaluru,438,276,1.0,14
382,FA Allen,Mumbai Indians,8,7,1.0,1
383,FA Allen,Punjab Kings,6,12,0.0,1
384,Fazalhaq Farooqi,Rajasthan Royals,2,2,1.0,0
385,Fazalhaq Farooqi,Sunrisers Hyderabad,3,13,0.0,0
386,FH Edwards,Deccan Chargers,4,5,0.0,1
387,FY Fazal,Rajasthan Royals,183,179,1.0,9
388,G Coetzee,Mumbai Indians,14,22,0.0,4
389,G Gambhir,Delhi Daredevils,1182,991,1.0,38
390,G Gambhir,Kolkata Knight Riders,3035,2533,1.0,90
391,GB Hogg,Kolkata Knight Riders,7,6,1.0,0
392,GB Hogg,Rajasthan Royals,15,16,0.0,2
393,GC Smith,Pune Warriors,42,54,0.0,4
394,GC Smith,Rajasthan Royals,697,637,1.0,22
395,GC Viljoen,Kings XI Punjab,3,7,0.0,2
396,GD McGrath,Delhi Daredevils,4,5,0.0,1
397,GD Phillips,Rajasthan Royals,26,33,0.0,2
398,GD Phillips,Sunrisers Hyderabad,39,22,1.0,5
399,GH Vihari,Delhi Capitals,4,8,0.0,2
400,GH Vihari,Sunrisers Hyderabad,280,323,0.0,17
401,GHS Garton,Royal Challengers Bangalore,2,4,0.0,1
402,GJ Bailey,Chennai Super Kings,63,67,0.0,3
403,GJ Bailey,Kings XI Punjab,516,386,1.0,19
404,GJ Bailey,Rising Pune Supergiants,84,99,0.0,4
405,GJ Maxwell,Delhi Daredevils,175,133,1.0,11
406,GJ Maxwell,Kings XI Punjab,1295,854,1.0,53
407,GJ Maxwell,Mumbai Indians,36,27,1.0,2
408,GJ Maxwell,Punjab Kings,48,54,0.0,6
409,GJ Maxwell,Royal Challengers Bangalore,1214,782,1.0,33
410,GJ Maxwell,Royal Challengers Bengaluru,52,46,1.0,9
411,GR Napier,Mumbai Indians,15,16,0.0,1
412,Gulbadin Naib,Delhi Capitals,19,15,1.0,1
413,Gurkeerat Singh,Kings XI Punjab,342,280,1.0,21
414,Gurkeerat Singh,Royal Challengers Bangalore,169,156,1.0,3
415,H Das,Deccan Chargers,2,5,0.0,1
416,H Klaasen,Rajasthan Royals,57,48,1.0,3
417,H Klaasen,Royal Challengers Bangalore,9,10,0.0,2
418,H Klaasen,Sunrisers Hyderabad,1215,746,1.0,28
419,Harbhajan Singh,Chennai Super Kings,30,41,0.0,3
420,Harbhajan Singh,Kolkata Knight Riders,4,4,1.0,0
421,Harbhajan Singh,Mumbai Indians,799,591,1.0,48
422,Harmeet Singh,Deccan Chargers,0,1,0.0,1
423,Harmeet Singh,Kings XI Punjab,18,11,1.0,1
424,Harpreet Brar,Kings XI Punjab,20,14,1.0,0
425,Harpreet Brar,Punjab Kings,213,187,1.0,11
426,Harpreet Singh,Pune Warriors,20,26,0.0,2
427,Harpreet Singh,Punjab Kings,103,93,1.0,4
428,Harshit Rana,Kolkata Knight Riders,25,34,0.0,5
429,HC Brook,Sunrisers Hyderabad,190,159,1.0,9
430,HE van der Dussen,Rajasthan Royals,22,25,0.0,2
431,HF Gurney,Kolkata Knight Riders,1,5,0.0,0
432,HH Gibbs,Deccan Chargers,805,746,1.0,29
433,HH Gibbs,Mumbai Indians,81,91,0.0,2
434,HH Pandya,Gujarat Titans,833,641,1.0,20
435,HH Pandya,Mumbai Indians,1805,1238,1.0,70
436,HM Amla,Kings XI Punjab,577,418,1.0,13
437,HR Shokeen,Mumbai Indians,66,67,0.0,3
438,HV Patel,Delhi Capitals,21,28,0.0,3
439,HV Patel,Delhi Daredevils,60,33,1.0,0
440,HV Patel,Punjab Kings,13,19,0.0,3
441,HV Patel,Royal Challengers Bangalore,155,134,1.0,18
442,HV Patel,Sunrisers Hyderabad,21,27,0.0,2
443,I Malhotra,Deccan Chargers,7,4,1.0,0
444,I Sharma,Deccan Chargers,4,5,0.0,0
445,I Sharma,Delhi Capitals,12,12,1.0,0
446,I Sharma,Kings XI Punjab,8,13,0.0,2
447,I Sharma,Kolkata Knight Riders,33,41,0.0,4
448,I Udana,Royal Challengers Bangalore,15,11,1.0,3
449,IC Pandey,Pune Warriors,0,2,0.0,1
450,IK Pathan,Delhi Daredevils,479,438,1.0,22
451,IK Pathan,Gujarat Lions,2,3,0.0,1
452,IK Pathan,Kings XI Punjab,603,472,1.0,22
453,IK Pathan,Rising Pune Supergiants,11,14,0.0,2
454,IK Pathan,Sunrisers Hyderabad,55,58,0.0,2
455,Imran Tahir,Chennai Super Kings,15,12,1.0,0
456,Imran Tahir,Delhi Daredevils,18,23,0.0,4
457,Imran Tahir,Rising Pune Supergiant,0,2,0.0,0
458,Iqbal Abdulla,Kolkata Knight Riders,26,32,0.0,0
459,Iqbal Abdulla,Royal Challengers Bangalore,62,54,1.0,1
