batsman,batsman_runs,average,strike_rate,best_score,basra,report_date
AD Mascarenhas,79,8.777777777777779,101.28205128205128,27,110.05982905982907,2025-04-27
C Munro,30,10.0,100.0,16,110.0,2025-04-27
CR Woakes,46,11.5,97.87234042553192,18,109.37234042553192,2025-04-27
DS Lehmann,18,9.0,100.0,17,109.0,2025-04-27
B Kumar,158,8.31578947368421,100.63694267515925,24,108.95273214884345,2025-04-27
K Goel,218,14.533333333333331,94.37229437229438,38,108.90562770562771,2025-04-27
Mohammed Shami,46,6.571428571428571,102.2222222222222,21,108.79365079365077,2025-04-27
GR Napier,15,15.0,93.75,15,108.75,2025-04-27
JJ Bumrah,25,12.5,96.15384615384616,16,108.65384615384616,2025-04-27
RV Gomez,50,10.0,98.0392156862745,26,108.0392156862745,2025-04-27
J Arunkumar,23,7.666666666666667,100.0,22,107.66666666666667,2025-04-27
GB Hogg,22,7.333333333333333,100.0,13,107.33333333333333,2025-04-27
DJ Jacobs,92,13.142857142857142,93.87755102040816,32,107.0204081632653,2025-04-27
VS Malik,7,7.0,100.0,6,107.0,2025-04-27
L Ronchi,34,6.8,100.0,13,106.8,2025-04-27
R Ashwin,231,10.5,96.25,29,106.75,2025-04-27
DT Patil,13,6.5,100.0,9,106.5,2025-04-27
MN Samuels,161,12.384615384615383,93.6046511627907,46,105.98926654740609,2025-04-27
A Mishra,340,11.724137931034482,93.66391184573004,31,105.38804977676452,2025-04-27
JDS Neesham,42,14.0,91.30434782608695,22,105.30434782608695,2025-04-27
GH Vihari,280,15.555555555555555,89.45686900958466,46,105.01242456514022,2025-04-27
DS Kulkarni,90,11.25,93.75,28,105.0,2025-04-27
SJ Srivastava,5,5.0,100.0,3,105.0,2025-04-27
KW Richardson,36,12.0,92.3076923076923,26,104.3076923076923,2025-04-27
K Rabada,55,18.33333333333333,85.9375,44,104.27083333333333,2025-04-27
BB Sran,4,4.0,100.0,2,104.0,2025-04-27
P Dogra,127,11.545454545454543,92.02898550724638,41,103.57444005270092,2025-04-27
JE Taylor,3,3.0,100.0,2,103.0,2025-04-27
SK Warne,198,9.9,92.5233644859813,34,102.42336448598131,2025-04-27
VS Yeligati,2,2.0,100.0,2,102.0,2025-04-27
Mashrafe Mortaza,2,2.0,100.0,2,102.0,2025-04-27
RG More,2,2.0,100.0,2,102.0,2025-04-27
NJ Maddinson,20,6.666666666666667,95.23809523809524,12,101.90476190476191,2025-04-27
MM Patel,39,6.5,95.1219512195122,23,101.6219512195122,2025-04-27
S Sriram,31,15.5,86.11111111111111,27,101.61111111111111,2025-04-27
R Shukla,19,19.0,82.6086956521739,14,101.6086956521739,2025-04-27
LH Ferguson,1,1.0,100.0,1,101.0,2025-04-27
DP Vijaykumar,1,1.0,100.0,1,101.0,2025-04-27
NJ Rimmington,1,1.0,100.0,1,101.0,2025-04-27
Kuldeep Yadav,20,10.0,90.9090909090909,16,100.9090909090909,2025-04-27
Sandeep Sharma,26,26.0,74.28571428571429,7,100.28571428571429,2025-04-27
CJ Ferguson,98,16.333333333333332,83.76068376068376,23,100.09401709401709,2025-04-27
AA Noffke,9,9.0,90.0,9,99.0,2025-04-27
DR Martyn,19,19.0,79.16666666666666,19,98.16666666666666,2025-04-27
SW Tait,23,7.666666666666667,88.46153846153845,11,96.12820512820512,2025-04-27
A Mukund,19,9.5,86.36363636363636,19,95.86363636363636,2025-04-27
VR Aaron,46,11.5,83.63636363636363,17,95.13636363636363,2025-04-27
AA Bilakhia,69,13.8,81.17647058823529,22,94.97647058823529,2025-04-27
